Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Engine size_win,Year of manufacture_win,Mileage_win,Price_win
VW,Passat,1.8,Diesel,2005,124481,8208,1.8,2005,124481.0,8208.0
Ford,Focus,1.6,Petrol,2003,90251,7951,1.6,2003,90251.0,7951.0
Ford,Mondeo,2.0,Diesel,2018,36456,35713,2.0,2018,36456.0,35713.0
Toyota,Yaris,1.2,Hybrid,2012,88142,12204,1.2,2012,88142.0,12204.0
VW,Golf,1.4,Diesel,1998,157091,2803,1.4,1998,157091.0,2803.0
Ford,Fiesta,1.2,Petrol,2008,108342,5808,1.2,2008,108342.0,5808.0
BMW,M5,4.4,Petrol,1991,198568,4932,2.9000000000000004,1991,198568.0,4932.0
Ford,Mondeo,1.8,Diesel,1994,223999,1605,1.8,1994,223999.0,1605.0
VW,Polo,1.4,Petrol,2004,136591,3964,1.4,2004,136591.0,3964.0
Ford,Mondeo,1.6,Diesel,2017,26763,31605,1.6,2017,26763.0,31605.0
Toyota,Prius,1.4,Hybrid,2013,72119,20460,1.4,2013,72119.0,20460.0
Toyota,Yaris,1.2,Hybrid,1991,226472,966,1.2,1991,226472.0,966.0
VW,Passat,1.4,Diesel,2002,167417,4184,1.4,2002,167417.0,4184.0
Ford,Fiesta,1.0,Petrol,2009,35151,9257,1.0,2009,35151.0,9257.0
VW,Golf,2.0,Diesel,1995,211417,1717,2.0,1995,211417.0,1717.0
Ford,Mondeo,1.8,Diesel,2020,17770,43042,1.8,2020,17770.0,42975.125
Toyota,RAV4,1.8,Hybrid,1995,240461,2079,1.8,1995,240461.0,2079.0
Toyota,RAV4,2.2,Hybrid,2018,37734,52316,2.2,2018,37734.0,42975.125
Ford,Focus,2.0,Diesel,2019,27875,40492,2.0,2019,27875.0,40492.0
BMW,X3,2.4,Petrol,2018,22627,47170,2.4,2018,22627.0,42975.125
Ford,Focus,1.8,Petrol,2010,68378,15634,1.8,2010,68378.0,15634.0
Porsche,Cayenne,4.0,Petrol,2007,65641,30704,2.9000000000000004,2007,65641.0,30704.0
Ford,Fiesta,1.2,Petrol,1993,163905,1373,1.2,1993,163905.0,1373.0
Toyota,Prius,1.0,Hybrid,2013,49718,19992,1.0,2013,49718.0,19992.0
Ford,Mondeo,2.0,Diesel,1993,237140,1405,2.0,1993,237140.0,1405.0
VW,Golf,1.2,Petrol,2017,6538,24655,1.2,2017,6538.0,24655.0
Toyota,Yaris,1.0,Petrol,1997,152617,2082,1.0,1997,152617.0,2082.0
Toyota,Yaris,1.4,Hybrid,2015,36034,22587,1.4,2015,36034.0,22587.0
BMW,X3,2.0,Diesel,2016,30150,37921,2.0,2016,30150.0,37921.0
Porsche,911,3.0,Petrol,1996,244219,4457,2.9000000000000004,1996,244219.0,4457.0
VW,Golf,1.8,Diesel,2000,102775,5561,1.8,2000,102775.0,5561.0
Toyota,Prius,1.4,Hybrid,1996,61013,7088,1.4,1996,61013.0,7088.0
Ford,Mondeo,2.0,Diesel,2011,62377,19066,2.0,2011,62377.0,19066.0
VW,Polo,2.0,Petrol,2014,47162,17445,2.0,2014,47162.0,17445.0
VW,Passat,1.8,Diesel,2007,144895,7976,1.8,2007,144895.0,7976.0
VW,Passat,1.8,Diesel,1996,183681,2768,1.8,1996,183681.0,2768.0
VW,Passat,1.4,Diesel,1994,178140,2241,1.4,1994,178140.0,2241.0
VW,Polo,1.6,Petrol,1998,162650,2296,1.6,1998,162650.0,2296.0
VW,Golf,1.2,Hybrid,2003,86848,7110,1.2,2003,86848.0,7110.0
VW,Passat,1.6,Petrol,1995,304316,770,1.6,1995,304316.0,770.0
VW,Polo,2.0,Petrol,1993,241686,916,2.0,1993,241686.0,916.0
Ford,Mondeo,1.6,Diesel,2014,52583,22175,1.6,2014,52583.0,22175.0
Ford,Mondeo,1.4,Diesel,2012,93533,13773,1.4,2012,93533.0,13773.0
VW,Polo,2.0,Petrol,2007,103588,7458,2.0,2007,103588.0,7458.0
Ford,Fiesta,1.4,Hybrid,2020,13598,30881,1.4,2020,13598.0,30881.0
Ford,Mondeo,2.0,Diesel,2018,37474,35499,2.0,2018,37474.0,35499.0
Ford,Focus,1.6,Diesel,2010,77126,14590,1.6,2010,77126.0,14590.0
Ford,Fiesta,1.4,Petrol,2018,26642,20962,1.4,2018,26642.0,20962.0
VW,Golf,1.2,Petrol,1991,184514,1229,1.2,1991,184514.0,1229.0
VW,Golf,1.8,Petrol,1987,210169,920,1.8,1987,210169.0,920.0
Ford,Mondeo,2.0,Hybrid,2010,113598,14199,2.0,2010,113598.0,14199.0
Ford,Focus,1.8,Diesel,2006,80711,11564,1.8,2006,80711.0,11564.0
Toyota,Yaris,1.0,Petrol,2012,83415,9597,1.0,2012,83415.0,9597.0
Toyota,Yaris,1.4,Petrol,2010,70748,10837,1.4,2010,70748.0,10837.0
VW,Golf,1.8,Petrol,2011,42146,16580,1.8,2011,42146.0,16580.0
Ford,Mondeo,1.4,Hybrid,1998,64268,7569,1.4,1998,64268.0,7569.0
Toyota,Prius,1.0,Hybrid,1987,104101,2437,1.0,1987,104101.0,2437.0
VW,Golf,1.4,Petrol,2018,42840,23220,1.4,2018,42840.0,23220.0
Porsche,911,3.5,Petrol,2006,41416,46634,2.9000000000000004,2006,41416.0,42975.125
Ford,Focus,1.4,Petrol,1999,131150,4190,1.4,1999,131150.0,4190.0
VW,Passat,1.6,Petrol,2002,105116,6990,1.6,2002,105116.0,6990.0
VW,Polo,2.0,Diesel,1989,179153,1286,2.0,1989,179153.0,1286.0
Ford,Fiesta,1.0,Petrol,1992,136940,1462,1.0,1992,136940.0,1462.0
VW,Golf,1.6,Diesel,2019,13797,32879,1.6,2019,13797.0,32879.0
Ford,Mondeo,2.0,Diesel,1985,121817,2203,2.0,1985,121817.0,2203.0
Ford,Fiesta,1.0,Petrol,2000,190079,1599,1.0,2000,190079.0,1599.0
Ford,Fiesta,1.2,Petrol,1990,54942,2532,1.2,1990,54942.0,2532.0
VW,Polo,1.6,Petrol,1996,37912,4970,1.6,1996,37912.0,4970.0
VW,Polo,1.2,Petrol,2008,75564,7534,1.2,2008,75564.0,7534.0
Ford,Mondeo,1.6,Diesel,1986,137368,1864,1.6,1986,137368.0,1864.0
Ford,Focus,1.8,Petrol,1986,254472,684,1.8,1986,254472.0,684.0
Toyota,Prius,1.0,Hybrid,1992,195077,1622,1.0,1992,195077.0,1622.0
BMW,Z4,3.0,Petrol,2000,109985,8516,2.9000000000000004,2000,109985.0,8516.0
Toyota,Yaris,1.0,Hybrid,2018,51330,21248,1.0,2018,51330.0,21248.0
VW,Golf,1.6,Diesel,2007,89471,9206,1.6,2007,89471.0,9206.0
Ford,Mondeo,2.0,Diesel,2015,40351,28569,2.0,2015,40351.0,28569.0
VW,Golf,1.6,Hybrid,2005,141418,6207,1.6,2005,141418.0,6207.0
Porsche,Cayenne,4.0,Diesel,1991,190251,4217,2.9000000000000004,1991,190251.0,4217.0
Ford,Focus,2.0,Petrol,1998,127990,4803,2.0,1998,127990.0,4803.0
BMW,M5,4.4,Petrol,1998,165357,10466,2.9000000000000004,1998,165357.0,10466.0
Ford,Fiesta,1.0,Petrol,1991,170994,1034,1.0,1991,170994.0,1034.0
BMW,Z4,2.4,Petrol,1996,144239,4465,2.4,1996,144239.0,4465.0
Ford,Focus,2.0,Petrol,1988,196842,1389,2.0,1988,196842.0,1389.0
Toyota,RAV4,1.8,Hybrid,1993,113340,5351,1.8,1993,113340.0,5351.0
Toyota,RAV4,2.4,Petrol,2021,10953,64624,2.4,2021,10953.0,42975.125
Ford,Mondeo,1.8,Petrol,2009,126251,9528,1.8,2009,126251.0,9528.0
Toyota,RAV4,2.0,Petrol,2018,36115,41967,2.0,2018,36115.0,41967.0
VW,Passat,1.4,Diesel,1997,70936,6262,1.4,1997,70936.0,6262.0
Toyota,Yaris,1.2,Hybrid,1986,288762,388,1.2,1986,288762.0,388.0
VW,Golf,1.2,Petrol,1990,245960,663,1.2,1990,245960.0,663.0
Toyota,Yaris,1.0,Petrol,2000,116552,3385,1.0,2000,116552.0,3385.0
Toyota,Prius,1.0,Hybrid,1988,116406,2375,1.0,1988,116406.0,2375.0
Toyota,RAV4,2.2,Hybrid,1993,233466,2144,2.2,1993,233466.0,2144.0
VW,Golf,1.2,Hybrid,2012,50267,16521,1.2,2012,50267.0,16521.0
Ford,Focus,2.0,Diesel,2016,52977,28519,2.0,2016,52977.0,28519.0
Ford,Mondeo,1.4,Diesel,2014,57726,20077,1.4,2014,57726.0,20077.0
VW,Polo,1.2,Petrol,1991,334993,257,1.2,1991,314974.125,257.0
VW,Golf,1.4,Hybrid,2011,84907,13270,1.4,2011,84907.0,13270.0
Porsche,911,3.5,Petrol,1994,239623,4395,2.9000000000000004,1994,239623.0,4395.0
Ford,Mondeo,2.0,Petrol,2007,110783,9896,2.0,2007,110783.0,9896.0
VW,Passat,1.4,Diesel,2012,52461,19194,1.4,2012,52461.0,19194.0
Toyota,Prius,1.4,Hybrid,2006,78640,12274,1.4,2006,78640.0,12274.0
Toyota,RAV4,2.2,Hybrid,1988,214148,1829,2.2,1988,214148.0,1829.0
Toyota,RAV4,2.4,Hybrid,2001,48154,16516,2.4,2001,48154.0,16516.0
Toyota,Prius,1.4,Hybrid,2014,62221,23352,1.4,2014,62221.0,23352.0
BMW,M5,4.0,Petrol,2001,181810,10598,2.9000000000000004,2001,181810.0,10598.0
Toyota,Yaris,1.0,Hybrid,2000,42252,6767,1.0,2000,42252.0,6767.0
VW,Golf,2.0,Diesel,1993,92213,3969,2.0,1993,92213.0,3969.0
Ford,Mondeo,2.0,Diesel,2009,30277,20318,2.0,2009,30277.0,20318.0
VW,Polo,1.4,Petrol,2001,170186,2462,1.4,2001,170186.0,2462.0
Ford,Fiesta,1.0,Petrol,1993,199410,924,1.0,1993,199410.0,924.0
Toyota,RAV4,1.8,Hybrid,2017,38825,43983,1.8,2017,38825.0,42975.125
Toyota,Prius,1.4,Hybrid,1994,224172,1693,1.4,1994,224172.0,1693.0
VW,Passat,2.0,Petrol,1990,139557,2691,2.0,1990,139557.0,2691.0
Ford,Fiesta,1.0,Hybrid,1984,288785,268,1.0,1984,288785.0,268.0
VW,Polo,1.2,Diesel,2002,112891,4054,1.2,2002,112891.0,4054.0
VW,Polo,1.0,Petrol,2010,28162,10575,1.0,2010,28162.0,10575.0
Ford,Fiesta,1.2,Petrol,2005,144246,3595,1.2,2005,144246.0,3595.0
Toyota,RAV4,1.8,Hybrid,1991,200239,2287,1.8,1991,200239.0,2287.0
Toyota,RAV4,2.4,Hybrid,2000,60440,14296,2.4,2000,60440.0,14296.0
VW,Polo,1.6,Petrol,2010,97129,8542,1.6,2010,97129.0,8542.0
VW,Golf,1.8,Petrol,1996,96789,4238,1.8,1996,96789.0,4238.0
Ford,Mondeo,2.0,Diesel,2019,18226,42339,2.0,2019,18226.0,42339.0
Porsche,718 Cayman,4.0,Petrol,2010,140050,18337,2.9000000000000004,2010,140050.0,18337.0
Porsche,Cayenne,2.6,Petrol,2014,20303,51943,2.6,2014,20303.0,42975.125
Toyota,Yaris,1.2,Petrol,1996,82111,3651,1.2,1996,82111.0,3651.0
VW,Golf,1.6,Petrol,1995,185330,1839,1.6,1995,185330.0,1839.0
VW,Golf,2.0,Petrol,1989,228972,936,2.0,1989,228972.0,936.0
BMW,M5,5.0,Petrol,1990,218199,4131,2.9000000000000004,1990,218199.0,4131.0
Ford,Fiesta,1.2,Petrol,1988,215793,627,1.2,1988,215793.0,627.0
BMW,M5,4.0,Petrol,2007,150991,20485,2.9000000000000004,2007,150991.0,20485.0
VW,Polo,1.2,Petrol,2011,65567,9839,1.2,2011,65567.0,9839.0
Ford,Mondeo,1.6,Diesel,2011,55321,17844,1.6,2011,55321.0,17844.0
VW,Polo,1.4,Petrol,1992,263796,584,1.4,1992,263796.0,584.0
Ford,Mondeo,2.0,Diesel,1991,150718,2612,2.0,1991,150718.0,2612.0
VW,Passat,1.6,Diesel,1993,182267,2163,1.6,1993,182267.0,2163.0
Ford,Mondeo,1.8,Diesel,1987,174603,1554,1.8,1987,174603.0,1554.0
VW,Golf,1.2,Hybrid,1987,203169,959,1.2,1987,203169.0,959.0
Ford,Fiesta,1.0,Petrol,2006,68629,6145,1.0,2006,68629.0,6145.0
Ford,Fiesta,1.0,Hybrid,2003,110094,4499,1.0,2003,110094.0,4499.0
Ford,Mondeo,1.4,Diesel,1991,174860,1786,1.4,1991,174860.0,1786.0
VW,Golf,1.4,Petrol,2017,7325,26523,1.4,2017,7325.0,26523.0
VW,Golf,1.6,Petrol,1988,135031,1752,1.6,1988,135031.0,1752.0
VW,Passat,2.0,Diesel,2012,54328,22673,2.0,2012,54328.0,22673.0
Ford,Focus,1.4,Diesel,2013,81522,16173,1.4,2013,81522.0,16173.0
VW,Polo,1.4,Petrol,2001,117824,3758,1.4,2001,117824.0,3758.0
Toyota,Yaris,1.2,Petrol,1995,169779,1730,1.2,1995,169779.0,1730.0
Ford,Focus,1.4,Petrol,2004,135953,5629,1.4,2004,135953.0,5629.0
Toyota,Yaris,1.0,Hybrid,1992,132627,2103,1.0,1992,132627.0,2103.0
Ford,Focus,1.0,Hybrid,1998,133769,3894,1.0,1998,133769.0,3894.0
Toyota,Prius,1.0,Hybrid,2015,19490,27266,1.0,2015,19490.0,27266.0
Ford,Focus,1.8,Diesel,2007,59037,14287,1.8,2007,59037.0,14287.0
Toyota,Yaris,1.0,Petrol,2002,118564,3809,1.0,2002,118564.0,3809.0
VW,Golf,1.4,Diesel,2021,13621,35175,1.4,2021,13621.0,35175.0
Toyota,Yaris,1.2,Hybrid,2012,70939,13740,1.2,2012,70939.0,13740.0
VW,Passat,2.0,Diesel,1997,156603,3922,2.0,1997,156603.0,3922.0
Ford,Focus,1.0,Petrol,1997,220448,1450,1.0,1997,220448.0,1450.0
VW,Golf,1.2,Petrol,2012,85150,10925,1.2,2012,85150.0,10925.0
Ford,Focus,1.0,Diesel,2010,93073,10315,1.0,2010,93073.0,10315.0
BMW,M5,4.4,Petrol,2010,52576,53877,2.9000000000000004,2010,52576.0,42975.125
Toyota,Yaris,1.4,Hybrid,2011,96285,11634,1.4,2011,96285.0,11634.0
Ford,Mondeo,1.8,Diesel,1996,216510,1962,1.8,1996,216510.0,1962.0
Ford,Fiesta,1.4,Petrol,2019,34184,21456,1.4,2019,34184.0,21456.0
VW,Passat,1.6,Diesel,1999,162607,3813,1.6,1999,162607.0,3813.0
VW,Passat,1.4,Diesel,2002,109107,6664,1.4,2002,109107.0,6664.0
Ford,Fiesta,1.4,Petrol,1991,84192,2405,1.4,1991,84192.0,2405.0
Ford,Fiesta,1.4,Petrol,2006,55732,7907,1.4,2006,55732.0,7907.0
Toyota,Prius,1.8,Hybrid,2013,37941,28813,1.8,2013,37941.0,28813.0
Ford,Mondeo,1.8,Diesel,2006,138222,7452,1.8,2006,138222.0,7452.0
BMW,M5,4.4,Petrol,1999,180161,9867,2.9000000000000004,1999,180161.0,9867.0
Ford,Mondeo,1.4,Diesel,2021,16431,40872,1.4,2021,16431.0,40872.0
Toyota,Yaris,1.4,Hybrid,1986,209283,873,1.4,1986,209283.0,873.0
VW,Polo,1.6,Petrol,1993,235912,864,1.6,1993,235912.0,864.0
Ford,Mondeo,1.8,Diesel,2022,7902,51832,1.8,2022,7902.0,42975.125
Toyota,Yaris,1.0,Hybrid,2001,170920,2800,1.0,2001,170920.0,2800.0
Porsche,911,3.5,Petrol,2008,90953,38446,2.9000000000000004,2008,90953.0,38446.0
Toyota,Yaris,1.2,Petrol,1999,169541,2263,1.2,1999,169541.0,2263.0
VW,Passat,2.0,Petrol,2001,113814,6849,2.0,2001,113814.0,6849.0
VW,Polo,1.2,Petrol,1994,166651,1473,1.2,1994,166651.0,1473.0
Ford,Focus,2.0,Petrol,1994,269215,1072,2.0,1994,269215.0,1072.0
VW,Golf,1.2,Hybrid,2002,196730,2760,1.2,2002,196730.0,2760.0
Ford,Mondeo,2.0,Diesel,1999,179345,3502,2.0,1999,179345.0,3502.0
VW,Polo,1.4,Petrol,1999,210250,1521,1.4,1999,210250.0,1521.0
VW,Golf,1.4,Diesel,2011,66244,13184,1.4,2011,66244.0,13184.0
Porsche,Cayenne,2.6,Petrol,2013,48355,41240,2.6,2013,48355.0,41240.0
BMW,M5,4.4,Petrol,2008,64159,43773,2.9000000000000004,2008,64159.0,42975.125
Toyota,RAV4,1.8,Hybrid,2013,73386,27037,1.8,2013,73386.0,27037.0
Ford,Fiesta,1.2,Petrol,1988,255054,438,1.2,1988,255054.0,438.0
VW,Polo,1.0,Petrol,2010,64967,8436,1.0,2010,64967.0,8436.0
Toyota,RAV4,2.0,Hybrid,2018,25711,53475,2.0,2018,25711.0,42975.125
Toyota,Yaris,1.0,Hybrid,2007,76792,8638,1.0,2007,76792.0,8638.0
Ford,Mondeo,1.8,Petrol,2014,43755,23657,1.8,2014,43755.0,23657.0
Toyota,Prius,1.8,Hybrid,2005,58701,14866,1.8,2005,58701.0,14866.0
Toyota,Yaris,1.4,Petrol,1987,195829,875,1.4,1987,195829.0,875.0
BMW,X3,3.0,Diesel,2001,79178,12528,2.9000000000000004,2001,79178.0,12528.0
Porsche,Cayenne,2.6,Petrol,2016,29049,56508,2.6,2016,29049.0,42975.125
Toyota,RAV4,1.8,Hybrid,1995,185194,3405,1.8,1995,185194.0,3405.0
BMW,M5,5.0,Petrol,1987,218891,3361,2.9000000000000004,1987,218891.0,3361.0
Toyota,Prius,1.8,Hybrid,1995,63174,7414,1.8,1995,63174.0,7414.0
VW,Passat,1.8,Petrol,1999,197910,2845,1.8,1999,197910.0,2845.0
Ford,Fiesta,1.0,Petrol,1996,195376,1169,1.0,1996,195376.0,1169.0
Ford,Fiesta,1.0,Petrol,1991,171795,1027,1.0,1991,171795.0,1027.0
Ford,Fiesta,1.2,Petrol,2000,17801,6139,1.2,2000,17801.0,6139.0
Toyota,RAV4,1.8,Hybrid,1997,153810,5072,1.8,1997,153810.0,5072.0
Ford,Mondeo,2.0,Diesel,2016,37551,31053,2.0,2016,37551.0,31053.0
VW,Golf,1.8,Petrol,2006,116438,7133,1.8,2006,116438.0,7133.0
VW,Passat,1.8,Diesel,2007,110835,10410,1.8,2007,110835.0,10410.0
VW,Golf,1.8,Petrol,2004,168452,4107,1.8,2004,168452.0,4107.0
Ford,Mondeo,1.8,Diesel,1998,174191,3248,1.8,1998,174191.0,3248.0
Ford,Fiesta,1.0,Diesel,1996,143698,1899,1.0,1996,143698.0,1899.0
BMW,Z4,2.4,Petrol,2010,107228,15145,2.4,2010,107228.0,15145.0
Ford,Fiesta,1.4,Petrol,1996,135352,2288,1.4,1996,135352.0,2288.0
VW,Polo,1.0,Petrol,2009,78689,7196,1.0,2009,78689.0,7196.0
VW,Passat,1.4,Petrol,2013,62305,18348,1.4,2013,62305.0,18348.0
Ford,Fiesta,1.4,Petrol,2010,53618,10463,1.4,2010,53618.0,10463.0
VW,Golf,1.8,Petrol,2013,6437,23141,1.8,2013,6437.0,23141.0
Porsche,718 Cayman,2.0,Petrol,2017,29263,44689,2.0,2017,29263.0,42975.125
Ford,Mondeo,1.8,Diesel,2007,104784,10308,1.8,2007,104784.0,10308.0
VW,Passat,1.4,Petrol,2018,33055,30670,1.4,2018,33055.0,30670.0
Toyota,RAV4,2.4,Petrol,2013,55890,29181,2.4,2013,55890.0,29181.0
Toyota,Yaris,1.2,Petrol,1995,160764,1866,1.2,1995,160764.0,1866.0
VW,Passat,2.0,Diesel,1991,256823,1083,2.0,1991,256823.0,1083.0
Toyota,Yaris,1.0,Hybrid,2006,100867,6814,1.0,2006,100867.0,6814.0
VW,Passat,1.8,Diesel,1992,298652,741,1.8,1992,298652.0,741.0
VW,Passat,1.6,Diesel,2013,52102,21984,1.6,2013,52102.0,21984.0
VW,Passat,1.8,Diesel,1989,208001,1403,1.8,1989,208001.0,1403.0
Ford,Fiesta,1.4,Petrol,2012,67324,10941,1.4,2012,67324.0,10941.0
Ford,Fiesta,1.4,Diesel,2006,91306,6529,1.4,2006,91306.0,6529.0
Toyota,Yaris,1.2,Petrol,2018,16646,23751,1.2,2018,16646.0,23751.0
Ford,Focus,1.0,Petrol,2021,14782,33498,1.0,2021,14782.0,33498.0
Toyota,Yaris,1.2,Petrol,2015,57337,15288,1.2,2015,57337.0,15288.0
BMW,M5,4.0,Petrol,2010,37495,56325,2.9000000000000004,2010,37495.0,42975.125
Toyota,RAV4,1.8,Petrol,1995,178581,3004,1.8,1995,178581.0,3004.0
Toyota,Prius,1.4,Hybrid,2017,40748,32624,1.4,2017,40748.0,32624.0
Toyota,Prius,1.8,Hybrid,2014,43932,29710,1.8,2014,43932.0,29710.0
Ford,Fiesta,1.4,Petrol,2016,25166,18499,1.4,2016,25166.0,18499.0
Toyota,RAV4,1.8,Hybrid,2018,25484,50796,1.8,2018,25484.0,42975.125
Ford,Focus,2.0,Petrol,2015,58288,24566,2.0,2015,58288.0,24566.0
VW,Golf,1.8,Petrol,1997,129742,3531,1.8,1997,129742.0,3531.0
BMW,Z4,2.0,Petrol,2004,151551,6547,2.0,2004,151551.0,6547.0
VW,Passat,2.0,Diesel,1997,141061,4452,2.0,1997,141061.0,4452.0
Ford,Fiesta,1.4,Petrol,2000,159679,2451,1.4,2000,159679.0,2451.0
Porsche,718 Cayman,4.0,Petrol,2011,52797,36776,2.9000000000000004,2011,52797.0,36776.0
Ford,Focus,1.4,Petrol,1993,274668,797,1.4,1993,274668.0,797.0
Toyota,Prius,1.0,Hybrid,2000,140536,4376,1.0,2000,140536.0,4376.0
VW,Golf,1.8,Petrol,2016,39018,23577,1.8,2016,39018.0,23577.0
Porsche,Cayenne,4.0,Diesel,1997,266997,3138,2.9000000000000004,1997,266997.0,3138.0
VW,Polo,1.2,Petrol,2021,17979,25528,1.2,2021,17979.0,25528.0
VW,Polo,1.4,Petrol,1995,171621,1630,1.4,1995,171621.0,1630.0
Ford,Mondeo,1.4,Diesel,2013,45628,20261,1.4,2013,45628.0,20261.0
Porsche,718 Cayman,4.0,Petrol,2001,111700,12549,2.9000000000000004,2001,111700.0,12549.0
Ford,Fiesta,1.4,Petrol,2000,188948,1911,1.4,2000,188948.0,1911.0
Toyota,Yaris,1.0,Petrol,2008,102156,6427,1.0,2008,102156.0,6427.0
VW,Polo,1.6,Petrol,2013,72373,12406,1.6,2013,72373.0,12406.0
VW,Polo,1.4,Petrol,2007,134748,4914,1.4,2007,134748.0,4914.0
BMW,M5,4.0,Petrol,1998,170611,9547,2.9000000000000004,1998,170611.0,9547.0
Ford,Mondeo,1.4,Diesel,2005,97584,8388,1.4,2005,97584.0,8388.0
Ford,Focus,1.0,Diesel,1992,190490,1423,1.0,1992,190490.0,1423.0
VW,Passat,1.4,Diesel,2021,4777,45914,1.4,2021,4777.0,42975.125
Porsche,911,2.2,Petrol,2018,29822,88091,2.2,2018,29822.0,42975.125
Toyota,Prius,1.4,Hybrid,2013,95745,17349,1.4,2013,95745.0,17349.0
VW,Passat,1.6,Diesel,2004,97308,8880,1.6,2004,97308.0,8880.0
Toyota,Prius,1.8,Hybrid,2010,88160,17004,1.8,2010,88160.0,17004.0
VW,Polo,1.0,Diesel,2017,29917,17530,1.0,2017,29917.0,17530.0
Ford,Fiesta,1.0,Hybrid,1994,193725,1246,1.0,1994,193725.0,1246.0
Toyota,Prius,1.4,Hybrid,2010,102427,13529,1.4,2010,102427.0,13529.0
VW,Golf,1.6,Petrol,2003,111603,5711,1.6,2003,111603.0,5711.0
VW,Golf,1.6,Petrol,2012,61507,14800,1.6,2012,61507.0,14800.0
VW,Polo,1.6,Petrol,2018,39124,21389,1.6,2018,39124.0,21389.0
Toyota,Prius,1.8,Hybrid,1993,165456,3000,1.8,1993,165456.0,3000.0
VW,Passat,1.6,Diesel,1999,164947,3739,1.6,1999,164947.0,3739.0
Ford,Fiesta,1.0,Petrol,1997,183289,1388,1.0,1997,183289.0,1388.0
Ford,Mondeo,1.4,Petrol,2017,34154,26984,1.4,2017,34154.0,26984.0
Ford,Focus,2.0,Diesel,2006,114973,9504,2.0,2006,114973.0,9504.0
Ford,Focus,1.8,Diesel,2005,80643,10823,1.8,2005,80643.0,10823.0
Porsche,718 Cayman,2.0,Petrol,1991,191283,2377,2.0,1991,191283.0,2377.0
VW,Golf,1.4,Petrol,2009,129587,6940,1.4,2009,129587.0,6940.0
Toyota,RAV4,2.2,Hybrid,2001,123444,9333,2.2,2001,123444.0,9333.0
VW,Polo,1.2,Petrol,2020,17541,23938,1.2,2020,17541.0,23938.0
Ford,Fiesta,1.0,Petrol,2003,53165,5561,1.0,2003,53165.0,5561.0
Toyota,RAV4,2.4,Hybrid,2002,100355,12401,2.4,2002,100355.0,12401.0
VW,Golf,1.6,Diesel,1988,248105,690,1.6,1988,248105.0,690.0
Toyota,RAV4,2.0,Hybrid,1996,102860,7450,2.0,1996,102860.0,7450.0
Porsche,911,2.2,Petrol,1989,195404,3712,2.2,1989,195404.0,3712.0
Ford,Focus,1.6,Petrol,1996,236153,1488,1.6,1996,236153.0,1488.0
Ford,Focus,1.4,Petrol,2015,80417,17734,1.4,2015,80417.0,17734.0
Ford,Fiesta,1.0,Petrol,1993,189894,1004,1.0,1993,189894.0,1004.0
VW,Golf,1.6,Petrol,1992,305156,501,1.6,1992,305156.0,501.0
Toyota,RAV4,2.0,Hybrid,2015,26655,43548,2.0,2015,26655.0,42975.125
Ford,Focus,2.0,Petrol,2005,110666,8748,2.0,2005,110666.0,8748.0
Ford,Mondeo,1.8,Diesel,2015,57198,24417,1.8,2015,57198.0,24417.0
Ford,Mondeo,1.6,Diesel,2016,40871,27230,1.6,2016,40871.0,27230.0
Ford,Fiesta,1.0,Petrol,2018,31318,17249,1.0,2018,31318.0,17249.0
Ford,Focus,2.0,Petrol,1991,195682,1714,2.0,1991,195682.0,1714.0
BMW,X3,2.4,Diesel,2009,48526,23342,2.4,2009,48526.0,23342.0
VW,Golf,2.0,Diesel,1989,239311,894,2.0,1989,239311.0,894.0
Porsche,Cayenne,3.0,Petrol,2019,16612,79455,2.9000000000000004,2019,16612.0,42975.125
Toyota,RAV4,2.2,Hybrid,1999,115135,8706,2.2,1999,115135.0,8706.0
Toyota,RAV4,2.2,Petrol,2012,70309,23789,2.2,2012,70309.0,23789.0
Toyota,Yaris,1.0,Petrol,2017,36262,18153,1.0,2017,36262.0,18153.0
VW,Passat,2.0,Diesel,1999,229157,2381,2.0,1999,229157.0,2381.0
Ford,Mondeo,1.6,Diesel,2020,19116,40283,1.6,2020,19116.0,40283.0
VW,Passat,2.0,Petrol,2003,188715,4243,2.0,2003,188715.0,4243.0
VW,Polo,1.4,Petrol,2008,84983,7625,1.4,2008,84983.0,7625.0
Ford,Focus,1.6,Diesel,1998,111500,5119,1.6,1998,111500.0,5119.0
Ford,Fiesta,1.2,Petrol,2003,119567,3822,1.2,2003,119567.0,3822.0
Ford,Fiesta,1.0,Petrol,1995,170002,1361,1.0,1995,170002.0,1361.0
Ford,Focus,1.8,Petrol,2020,25688,39594,1.8,2020,25688.0,39594.0
VW,Polo,1.2,Petrol,2020,16172,24116,1.2,2020,16172.0,24116.0
Ford,Mondeo,1.6,Diesel,2012,73005,16988,1.6,2012,73005.0,16988.0
Ford,Mondeo,1.4,Petrol,2009,34855,15765,1.4,2009,34855.0,15765.0
Toyota,Yaris,1.2,Petrol,2001,96760,4592,1.2,2001,96760.0,4592.0
Toyota,RAV4,2.0,Hybrid,2012,5500,39970,2.0,2012,5500.0,39970.0
BMW,X3,3.0,Petrol,1993,248407,1728,2.9000000000000004,1993,248407.0,1728.0
VW,Polo,1.2,Petrol,1993,168802,1353,1.2,1993,168802.0,1353.0
